,max,mean,std,q1,q2,q3,q4,q5,q6,q7,q8,q9
account_publish_content_cnt_td,1.0,0.9994619825346791,0.023188964239145852,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
account_first_audit_content_cnt_td_pass,1.0,0.9992176826696465,0.027958994926361853,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
account_second_audit_content_cnt_td_pass,1.0,0.7517198320064727,0.43201521617808014,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
account_third_audit_content_cnt_td_pass,1.0,0.11842921210616268,0.32311568433781485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
account_account_elite_content_cnt_td,1.0,0.12359877573417408,0.3291232754968947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
account_distribute_content_cnt_td,1.0,0.9330275903789582,0.24997422455907914,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
account_first_audit_pass_cnt_1d,6969.0,47.6393879652532,199.75424111490028,1.0,2.0,4.0,7.0,11.0,18.0,29.0,54.0,95.0
account_second_audit_pass_cnt_1d,735.0,8.883703893838657,35.70513434353227,0.0,1.0,1.0,2.0,3.0,4.0,5.0,7.0,14.0
account_third_audit_pass_cnt_1d,225.0,2.5014535841969443,13.217001381381507,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0
account_elite_cnt_1d,249.0,2.585633070750022,14.182629689030437,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0
account_expo_pv_1d,58817818.0,565001.099109778,3456932.0605562134,2949.0,9816.0,22131.0,42124.0,73751.0,124064.0,208656.0,364755.0,748145.0
account_click_pv_1d,1820370.0,15870.136841278601,75828.34550591631,104.0,344.0,796.0,1550.0,2793.0,4762.0,8111.0,14259.0,28546.0
account_consume_pv_1d,47414363.0,219828.34465791492,1561856.9034838704,694.0,2337.0,5338.0,10326.0,18392.0,31987.0,58293.0,114232.0,277072.0
account_consume_time_1d,382611619341.0,2281147343.24097,13761266970.460026,5486435.0,17657363.0,38718905.0,75587622.6000016,139434298.0,260041654.0,497944142.0,1010703845.0,2582365018.0
account_valid_consume_pv_1d,33389720.0,141195.0741279415,1074038.5894147004,380.0,1269.0,2906.0,5635.0,10358.0,18552.0,33924.0,66653.0,162374.0
account_valid_consume_time_1d,368159260800.0,2185824918.831484,13262435353.939383,5039038.0,16103513.0,35234696.0,68663555.0,126552292.0,239784035.0,464401845.0,939935566.0,2438875594.0
account_play_vv_1d,47412164.0,217011.49030715186,1558763.5021085478,556.0,2040.0,4845.0,9582.0,17215.0,30276.0,55581.0,110790.0,270598.0
account_play_time_1d,309223087048.0,2175110229.578081,12851460334.405256,4601508.0,15760595.0,35455690.0,69978893.0,129565692.0,242501748.0,462972840.0,961299839.0,2487150951.0
account_valid_play_vv_1d,33388719.0,139386.33972227678,1071425.470826357,306.0,1123.0,2650.0,5250.0,9667.0,17483.0,32228.599999997765,64485.0,159631.0
account_valid_play_time_1d,289849260472.0,2075731155.777755,12257571159.694153,4247010.0,14444511.0,32463393.0,63788964.0,117740881.0,223014108.0,431200888.0,895884990.0,2345007375.0
account_complete_play_vv_1d,23253873.0,77761.16824898239,700285.1772509842,125.0,441.0,1007.0,1949.0,3612.0,6691.0,12999.0,28120.200000001118,75423.0
account_itrt_pv_1d,508047.0,947.0786683493238,5218.365485498255,7.0,17.0,32.0,58.0,100.0,175.0,322.0,609.0,1608.0
account_favor_pv_1d,207421.0,597.6333964831751,3427.1775217913305,4.0,9.0,18.0,32.0,54.0,93.0,170.0,340.0,939.0
account_comment_pv_1d,291696.0,56.205863352934216,1429.2252815347422,1.0,1.0,2.0,3.0,5.0,8.0,13.0,25.0,56.0
account_share_pv_1d,41952.0,160.39599491008482,1161.9781225109323,2.0,4.0,6.0,10.0,15.0,24.0,41.0,78.0,191.0
account_collect_pv_1d,44957.0,215.04119799299295,768.3810241279817,2.0,5.0,10.0,17.0,30.0,52.0,90.0,174.0,424.0
account_attention_pv_1d,99770.0,784.2964655833362,3662.8559911256566,4.0,12.0,29.0,59.0,113.0,204.0,375.0,715.0,1778.0
account_ipv_pv_1d,437011.0,7319.645511079222,24699.777417654102,27.0,117.0,308.0,641.0,1205.0,2099.0,3772.0,7094.0,16763.0
account_lead_shop_pv_1d,437011.0,7333.264905833557,24716.1366809106,29.0,119.0,312.0,645.0,1209.0,2109.0,3783.0,7098.0,16778.0
account_cart_cnt_1d,20306.0,399.38474395310425,1149.892589137021,2.0,8.0,17.0,33.0,60.0,107.0,198.0,391.0,971.0
account_cart_item_qty_1d,28705.0,447.7904221735928,1295.4681432561138,3.0,9.0,20.0,38.0,68.0,120.0,219.0,433.0,1069.0
account_cart_amt_1d,82000001202.2,984363.056968296,145462115.2427766,304.98000000000025,1394.3,3759.0,8246.7,16278.0,31215.989999999998,59504.7,124788.0,338220.0
account_pay_cnt_1d,12557.0,75.51881817318808,268.14484677887435,1.0,2.0,4.0,7.0,11.0,18.0,33.0,65.0,161.0
account_pay_item_qty_1d,57474.0,89.35633678710873,401.5222424955481,1.0,2.0,5.0,8.0,14.0,23.0,40.0,78.0,191.0
account_pay_amt_1d,5589563.78,11485.725911303289,81775.87683577163,34.1,282.4,612.43,1110.0,1846.21,3016.2,5103.3,9097.51,22008.93
account_zhongcao_pv_1d,5488938.0,76773.4288085094,288646.3694458762,132.0,841.0,2357.0,5039.0,9742.0,17929.0,32879.0,63809.0,148535.0
account_consume_zhongcao_pv_1d,5393440.0,69625.70514601491,274740.6760208728,94.0,633.0,1797.0,3877.0,7586.0,14476.0,27129.0,54812.0,128960.0
account_cart_zhongcao_pv_1d,61380.0,903.146092434814,2417.5633451827853,7.0,24.0,50.0,91.0,157.0,268.0,480.0,926.0,2219.0
account_ipv_zhongcao_pv_1d,437011.0,7777.6867310480475,25308.712473840264,28.0,127.0,337.0,705.0,1315.0,2289.0,4074.0,7625.0,17947.0
account_pay_order_zhongcao_1d,29293.0,253.07796556889016,1053.702983130967,1.0,5.0,10.0,17.0,30.0,53.0,97.0,200.0,506.0
account_pay_item_qty_zhongcao_1d,95040.0,307.46506093608343,1414.5779098605185,2.0,6.0,12.0,22.0,40.0,69.0,125.0,242.0,606.0
account_pay_amt_zhongcao_1d,33001267.943725064,98894.39953588751,840268.1102998763,133.07,634.26,1439.92,2698.0,4863.01,8588.0,15331.429644879052,31645.90452463567,87904.01000000001
expo_pv_1d,2617725.0,1026.78873996265,7959.774211768515,1.0,15.0,55.0,103.0,158.0,240.0,379.0,679.0,1611.0
expo_uv_1d,2608895.0,995.7666716530612,7879.880768882429,1.0,14.0,51.0,94.0,146.0,222.0,354.0,640.0,1541.0
click_pv_1d,296621.0,44.098838482427084,327.3351172804446,0.0,0.0,1.0,2.0,5.0,9.0,16.0,29.0,72.0
click_uv_1d,91205.0,41.630185111250704,287.84555852966207,0.0,0.0,1.0,2.0,5.0,8.0,15.0,27.0,67.0
consume_pv_1d,2918545.0,286.20325626063027,5701.117369776538,0.0,2.0,6.0,12.0,20.0,33.0,56.0,106.0,271.0
consume_time_1d,25526733272.0,3910232.3445403385,76466959.62609342,0.0,5764.0,32357.600000000093,74140.0,139326.0,249749.0,460540.0,955969.6000000006,2813280.999999999
consume_uv_1d,1155092.0,183.7618947540564,3114.6687873888986,0.0,1.0,5.0,9.0,15.0,24.0,40.0,74.0,185.0
consume_pv_1d_valid,2386250.0,186.5998311319015,3949.6624008298954,0.0,1.0,3.0,6.0,11.0,19.0,33.0,64.0,170.0
consume_time_1d_valid,25481321285.0,3776174.0219547492,74582344.02092652,0.0,3740.0,26919.0,64782.0,124629.0,226860.0,423463.0,890064.6000000006,2660865.8
consume_uv_1d_valid,902172.0,128.4031888160191,2197.4348311266012,0.0,1.0,2.0,5.0,9.0,14.0,24.0,46.0,121.0
play_vv_1d,2918536.0,281.79897478836546,5655.849092776799,0.0,1.0,5.0,11.0,19.0,32.0,54.0,103.0,264.0
play_time_1d,25526727072.0,3810153.80727351,75206906.32712191,0.0,595.0,24392.0,65983.0,130258.0,238544.0,444719.39999999944,927527.6000000006,2730337.999999999
play_uv_1d,1155089.0,181.0331572924123,3109.0641223174225,0.0,1.0,4.0,8.0,14.0,23.0,39.0,72.0,181.0
play_vv_1d_valid,2386242.0,183.13409530349685,3915.6064620317325,0.0,0.0,2.0,6.0,10.0,18.0,32.0,63.0,166.0
play_time_1d_valid,25481318145.0,3677528.1282635643,73346795.6766776,0.0,0.0,19829.0,57408.0,116365.0,216641.0,408836.0,863375.6000000006,2582668.3999999994
play_uv_1d_valid,902169.0,126.09947321586637,2189.7620579062886,0.0,0.0,2.0,4.0,8.0,14.0,24.0,45.0,118.0
play_vv_complete_1d,1618928.0,87.47822624465482,2460.680253099063,0.0,0.0,0.0,1.0,2.0,5.0,10.0,22.0,65.0
play_uv_complete_1d,631796.0,59.28018851917804,1300.3597680070643,0.0,0.0,0.0,1.0,2.0,4.0,7.0,15.0,44.0
itrt_pv_1d,8986.0,1.709228165253353,24.161427355736404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
itrt_uv_1d,8986.0,1.4795533841499362,20.29149049425485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
favor_pv_1d,8985.0,0.8393175087259115,13.995009913350543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
favor_uv_1d,8985.0,0.8393175087259115,13.995009913350543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
comment_pv_1d,905.0,0.0420925320877833,1.2497160247227492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
comment_uv_1d,796.0,0.03884724821859104,1.1167751980399654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
share_pv_1d,3102.0,0.2897414247679681,6.282843987907824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
share_uv_1d,2889.0,0.24978021378580792,5.6641224093029665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collect_pv_1d,3278.0,0.5389102195764955,7.190563968405051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
collect_uv_1d,3278.0,0.5389102195764955,7.190563968405051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
attention_pv_1d,3678.0,0.32462175631969725,4.5447397281917326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attention_uv_1d,3631.0,0.19128623655834812,3.5714427422319903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ipv_pv_1d,296157.0,18.079183944746735,159.66547593033266,0.0,0.0,0.0,0.0,2.0,4.0,8.0,15.0,34.0
ipv_uv_1d,91140.0,9.979267642549807,81.81750813527134,0.0,0.0,0.0,0.0,1.0,2.0,4.0,8.0,18.0
lead_shop_pv_1d,296157.0,18.178893317149303,159.86163091657423,0.0,0.0,0.0,0.0,2.0,4.0,8.0,15.0,34.0
lead_shop_uv_1d,91140.0,10.029775914554394,81.91079752432047,0.0,0.0,0.0,0.0,1.0,3.0,4.0,8.0,18.0
cart_cnt_1d,3060.0,1.0831760722672465,8.010337309066491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
cart_item_qty_1d,17003.0,1.1379325962170557,10.220095744199316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
cart_amt_1d,29999997.0,529.0586917170042,19187.935441330796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,450.0
cart_uv_1d,3045.0,1.030220897276592,7.683909108880489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
pay_cnt_1d,499.0,0.20554130101168033,1.47812676902907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pay_item_qty_1d,1010.0,0.23109562465634872,2.0961776074741043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pay_amt_1d,94466.51,15.590895283297181,161.02050188720312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pay_buyer_cnt_1d,460.0,0.19126180657184486,1.3812463475384995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zhongcao_pv_1d,968993.0,156.91544803981708,2307.788264763205,0.0,0.0,1.0,5.0,12.0,22.0,39.0,75.0,191.0
zhongcao_uv_1d,433913.0,85.65266237212046,1329.7325183480668,0.0,0.0,1.0,3.0,6.0,11.0,19.0,37.0,96.0
zhongcao_pv_1d_consume,967821.0,136.4697156851557,2233.5679114306013,0.0,0.0,0.0,3.0,8.0,14.0,27.0,54.0,145.0
zhongcao_uv_1d_consume,433810.0,83.47000326737125,1325.5153929762894,0.0,0.0,0.0,3.0,6.0,10.0,18.0,35.0,91.0
zhongcao_pv_1d_cart,7345.0,2.4089695755195026,16.96929686463492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0
zhongcao_uv_1d_cart,3045.0,1.0940676072546127,7.943545552380422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
zhongcao_pv_1d_ipv,296157.0,18.81428837401484,164.16091751668915,0.0,0.0,0.0,0.0,2.0,4.0,8.0,15.0,35.0
zhongcao_uv_1d_ipv,91140.0,10.57566440917974,87.5991550128382,0.0,0.0,0.0,0.0,1.0,3.0,5.0,8.0,19.0
pay_order_cnt_1d_zc,865.0,0.3944612870051547,2.522074820997486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
pay_item_qty_1d_zc,6174.0,0.47085497032537504,6.114041381807613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
pay_amt_1d_zc,1581212.0,47.933310042954,1073.928204636302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.9
pay_buyer_cnt_1d_zc,800.0,0.36296188710155836,2.3091817016151004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
