epoch,r1_rec,r2_rec,r3_rec,r1_ndcg,r2_ndcg,r3_ndcg,AUC,time,,m2,m1
0,0.374075507,0.529595157,0.706233075,0.884680075,0.876408934,0.866359891,0.843753992,331.5832398,,0.706233075,0.735680313
1,0.410213231,0.577020231,0.751268689,0.900300328,0.890462646,0.879112464,0.867066788,335.872756,,0.751268689,0.746717338
2,0.425528526,0.592790661,0.757799877,0.904454642,0.894552791,0.883291676,0.856124655,337.3157485,,0.757799877,0.765127552
3,0.431718362,0.601779578,0.77256901,0.905932751,0.895964006,0.884651698,0.87653494,333.8269794,,0.77256901,0.77438955
4,0.435632524,0.606330929,0.777256901,0.907312036,0.897277636,0.885874967,0.874270846,348.3432858,,0.777256901,0.771158091
5,0.436064902,0.605329632,0.776505928,0.907182251,0.897092696,0.885897888,0.873249039,340.0085142,,0.776505928,0.776801766
6,0.438681929,0.607036388,0.772819334,0.908354518,0.898169433,0.887242764,0.868110335,338.6728544,,0.772819334,0.777006577
7,0.438863983,0.609425847,0.772523496,0.908486281,0.898396895,0.887781153,0.867515329,337.127069,,0.772523496,0.779987711
8,0.442118199,0.615843251,0.780465603,0.908534395,0.898395286,0.887914789,0.873902428,335.3735745,,0.780465603,0.77705209
9,0.443460847,0.615024008,0.784493548,0.908978697,0.898864435,0.887863412,0.881275336,338.1567874,,0.784493548,0.78406117
10,0.441867874,0.616298387,0.788316683,0.907149795,0.897294203,0.886385721,0.882577011,340.3432236,,0.788316683,0.779805657
11,0.441435496,0.614614387,0.786769224,0.90789734,0.898041761,0.886813705,0.885989226,340.1396899,,0.786769224,0.785972737
12,0.442049928,0.617663792,0.788771818,0.906839092,0.897133256,0.886654735,0.88096224,338.1434212,,0.788771818,0.777302414
13,0.441503766,0.614409576,0.784288738,0.907693164,0.897652486,0.886924693,0.882523041,335.416173,,0.784288738,0.781307603
14,0.446692306,0.621168332,0.788498737,0.90988352,0.899460931,0.888713468,0.882930154,346.1318913,,0.788498737,0.788316683
15,0.445144847,0.61907471,0.790273764,0.908554092,0.898365328,0.887598553,0.877945962,338.686348,,0.790273764,0.789272467
16,0.44876317,0.620212548,0.787861548,0.909955432,0.899815571,0.88922511,0.876586071,332.3683684,,0.787861548,0.790455818
17,0.447056414,0.621304872,0.788862845,0.908643542,0.898665682,0.888126022,0.879414091,337.4825683,,0.788862845,0.789295223
18,0.445076576,0.618255467,0.788612521,0.908338991,0.898492844,0.887612329,0.884958368,344.2875807,,0.788612521,0.7823089
19,0.449332089,0.621418656,0.787884305,0.90998141,0.899883617,0.889342945,0.876285928,339.0309858,,0.787884305,0.787816034
20,0.449969278,0.621464169,0.786769224,0.91052162,0.90031852,0.889603537,0.869823371,337.5172269,,0.786769224,0.789659331
21,0.448649387,0.620167035,0.790342034,0.909611734,0.899561745,0.888918392,0.883695833,335.4531713,,0.790342034,0.78847598
22,0.45044717,0.626516169,0.792344628,0.910171726,0.900000247,0.889367156,0.880681706,344.9059546,,0.792344628,0.790000683
23,0.449878251,0.622328926,0.790842683,0.909945705,0.899954274,0.889284851,0.88675071,340.1008332,,0.790842683,0.78931798
