,max,mean,std,q1,q2,q3,q4,q5,q6,q7,q8,q9
account_publish_content_cnt_td,100.0,51.59149623250807,28.391570662336754,11.0,26.0,34.0,35.0,55.0,64.0,77.0,80.0,84.0
account_first_audit_content_cnt_td_pass,100.0,42.216899892357375,32.55996985095987,0.0,1.0,25.0,28.0,34.0,55.0,68.0,79.0,84.0
account_second_audit_content_cnt_td_pass,100.0,34.51453175457481,33.5566785788503,0.0,0.0,0.0,11.0,28.0,35.0,56.0,68.0,84.0
account_third_audit_content_cnt_td_pass,100.0,11.82400430570506,25.660761156225362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,56.0
account_account_elite_content_cnt_td,100.0,8.466630785791173,22.21496813926368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
account_distribute_content_cnt_td,100.0,31.680301399354143,34.00883741961707,0.0,0.0,0.0,1.0,25.0,34.0,56.0,68.0,80.0
account_first_audit_pass_cnt_1d,3780.0,46.9924650161464,201.04408127116517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,136.0
account_second_audit_pass_cnt_1d,896.0,33.878363832077504,95.98128101870256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,84.0
account_third_audit_pass_cnt_1d,1092.0,28.58772874058127,119.78284111435076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0
account_elite_cnt_1d,1092.0,28.38697524219591,119.5564652892592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0
account_expo_pv_1d,2172206700.0,26655614.509687837,205306993.49491698,4736.000000000003,9525.0,15496.000000000005,25848.0,47628.0,72303.20000000001,133353.0,261936.0,1441388.0
account_click_pv_1d,27266100.0,403673.7879440258,2594752.271899158,301.80000000000024,656.0000000000009,1118.0,1865.6000000000015,2924.0,4968.000000000001,9490.0,21632.000000000044,141975.3999999998
account_consume_pv_1d,112065700.0,2120127.607104413,11182027.089914344,543.2,1444.0000000000005,2525.0,4176.000000000008,6489.0,10153.400000000001,18668.0,63168.0,1333624.1999999979
account_consume_time_1d,1266475048524.0,27916570741.16308,136990699830.61449,5044048.0,12642003.0,26161610.0,42978512.0,67228000.0,110919909.80000003,205552687.19999984,797884698.0,15875690686.0
account_valid_consume_pv_1d,44259296.0,701501.4892357374,3220838.0538310255,324.40000000000003,816.0,1425.0,2312.0,3874.5,6165.600000000001,10932.8,33500.0,688446.999999999
account_valid_consume_time_1d,1256346329280.0,26383594344.76265,128183271262.83261,4519383.300000001,12079860.0,24419407.000000007,39612280.00000001,62719200.0,107216644.0,195060319.19999948,752405332.0,15186922148.0
account_play_vv_1d,67814292.0,1244259.6415500538,5269461.193789642,0.0,4.0,55.0,100.0,204.0,780.8000000000002,4663.999999999989,35972.0,1266451.8999999992
account_play_time_1d,1213201879512.0,20627720506.354683,94364924066.47726,0.0,21703.200000000048,400384.0,1229959.0000000007,4775850.5,18458022.0,75264644.0,412010096.0,13977303897.0
account_valid_play_vv_1d,44185856.0,574416.8180839613,2588711.431160104,0.0,0.0,43.0,80.0,154.0,495.2000000000003,2917.1999999999907,21616.0,571204.3999999998
account_valid_play_time_1d,1205720244036.0,20084399620.02045,92329520664.91142,0.0,0.0,395840.0,1162241.6000000006,4672331.0,17769808.0,73370362.0,368756724.0,12879434071.699999
account_complete_play_vv_1d,25031480.0,176402.35145317545,1062522.2573594477,0.0,0.0,0.0,0.0,28.0,252.0,1425.1999999999962,10010.0,172469.0
account_itrt_pv_1d,624900.0,14758.286867599569,66664.09960728671,0.0,26.0,52.0,70.0,100.0,168.0,328.99999999999864,1232.0,9927.599999999988
account_favor_pv_1d,364000.0,9675.321313240043,41149.72512049487,0.0,11.0,34.0,56.0,80.0,125.0,260.0,978.4000000000074,8611.999999999976
account_comment_pv_1d,38900.0,728.7583423035522,3906.8799644741994,0.0,0.0,0.0,0.0,0.0,26.0,56.0,86.0,347.3999999999983
account_share_pv_1d,166300.0,2671.1361679224974,16113.198748335775,0.0,0.0,0.0,0.0,28.0,55.0,79.0,156.0,820.2999999999954
account_collect_pv_1d,106334.0,2455.6926803013994,10394.714061835166,0.0,0.0,0.0,0.0,0.0,25.0,56.0,100.0,1152.1999999999948
account_attention_pv_1d,441100.0,7399.576964477933,34735.86839283802,0.0,0.0,0.0,0.0,26.0,70.0,123.69999999999823,286.0,1774.0999999999983
account_ipv_pv_1d,1948200.0,37889.092572658774,187463.66602310355,9.0,99.0,267.5000000000001,506.4000000000002,896.0,1428.0,2520.0,5236.000000000024,20540.0
account_lead_shop_pv_1d,1948200.0,37930.07534983854,187523.11219150844,9.0,99.0,267.5000000000001,508.00000000000034,896.0,1428.0,2520.0,5236.000000000024,20540.0
account_cart_cnt_1d,223584.0,1405.1178686759956,8963.52193987419,0.0,0.0,22.0,50.0,70.0,104.0,168.0,320.0,1110.8999999999971
account_cart_item_qty_1d,229364.0,1652.8519913885898,9425.436057592631,0.0,0.0,22.0,52.0,77.0,112.0,192.0,384.0,1344.0
account_cart_amt_1d,76365422.8,779800.7583100098,4012956.5231186207,0.0,0.0,1902.480000000001,6392.0,13946.0,32504.0,69255.93999999994,202627.20000000016,1072896.0
account_pay_cnt_1d,56644.0,710.313240043057,4562.406357560629,0.0,0.0,0.0,0.0,0.0,22.0,56.0,103.20000000000027,300.29999999999995
account_pay_item_qty_1d,61620.0,866.3358449946179,5353.549531591357,0.0,0.0,0.0,0.0,0.0,25.0,68.0,129.0,390.0999999999997
account_pay_amt_1d,8523218.977755038,135860.9388680224,830204.9225320814,0.0,0.0,0.0,0.0,0.0,1297.0880000000009,5485.8499999999885,16806.40000000002,66246.40000000001
account_zhongcao_pv_1d,51962132.0,437978.3143164693,2369067.6187920645,77.0,340.40000000000003,1008.0,1947.6000000000008,3700.0,7152.200000000001,13020.0,37416.00000000024,519456.0
account_consume_zhongcao_pv_1d,49648092.0,411376.36275565124,2269194.2855854826,55.70000000000002,234.0,702.0,1394.0,2788.0,5062.800000000001,10100.0,30967.600000000017,510800.0
account_cart_zhongcao_pv_1d,367880.0,2974.2039827771796,15877.410165300485,0.0,0.0,33.0,100.0,198.0,340.0,588.0,1020.0,2695.0
account_ipv_zhongcao_pv_1d,1948200.0,38083.61248654467,187722.9404021933,9.0,99.0,267.5000000000001,506.4000000000002,896.0,1428.0,2530.0,5353.600000000008,20826.0
account_pay_order_zhongcao_1d,125000.0,2301.4983853606027,12906.329550060373,0.0,0.0,0.0,0.0,34.0,77.0,140.0,301.0,1067.0
account_pay_item_qty_zhongcao_1d,150100.0,2834.709903121636,15371.234961323378,0.0,0.0,0.0,0.0,35.0,77.20000000000005,158.0,412.20000000000095,1606.7999999999984
account_pay_amt_zhongcao_1d,113529433.00000003,703082.5868651374,5040554.100368891,0.0,0.0,0.0,0.0,3133.2,10077.1,28492.0,67640.0,289013.9
expo_pv_1d,2512160.0,19153.201291711517,93732.02314196457,0.0,89.2000000000001,420.0,1176.0,2413.0,4969.600000000001,7899.599999999999,15388.800000000003,34120.79999999999
expo_uv_1d,2476880.0,15146.787405812702,88353.74667124811,0.0,68.0,258.0,770.0,1735.0,3400.0,5626.199999999997,9569.200000000003,21955.99999999999
click_pv_1d,131040.0,1110.313240043057,5608.420741494091,0.0,0.0,0.0,48.0,92.0,170.4000000000001,337.7999999999997,756.0,2131.199999999997
click_uv_1d,115920.0,808.7179763186222,4415.964574400299,0.0,0.0,0.0,40.80000000000007,83.0,165.0,308.0,612.0,1456.0
consume_pv_1d,149440.0,2350.8719052744887,9405.312846938969,0.0,0.0,55.0,136.0,317.5,539.0,952.0,2010.400000000002,4259.7
consume_time_1d,1416001280.0,23341702.149623252,95189178.60515319,0.0,0.0,195855.0,712946.0000000002,1708533.0,3259043.6000000006,6499062.99999999,14601298.8,36329023.79999999
consume_uv_1d,114324.0,1787.3713670613563,7634.704857458791,0.0,0.0,43.0,102.0,231.0,400.0,693.0,1468.4000000000012,3080.3
consume_pv_1d_valid,81816.0,1159.8902045209902,4096.168689126484,0.0,0.0,18.0,75.0,165.0,301.0,553.0,1092.0,2402.3999999999996
consume_time_1d_valid,1310975280.0,21763810.17545748,90389986.15240437,0.0,0.0,114346.60000000002,548184.0000000003,1370384.5,2779060.0000000005,5476819.6,12795080.000000002,33381690.099999998
consume_uv_1d_valid,75936.0,970.5575888051668,3546.437135890761,0.0,0.0,16.0,64.0,133.0,256.4000000000001,449.7999999999997,924.0,2000.0
play_vv_1d,145760.0,1440.0457481162541,8242.364540904176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,2035.0
play_time_1d,1351972480.0,16353850.792787945,83112060.3307586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019183.2000000116,18668223.19999997
play_uv_1d,114270.0,1110.9660925726587,6678.150069721576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.20000000000027,1600.0
play_vv_1d_valid,54000.0,629.240581270183,2925.0154376388714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,1037.1999999999998
play_time_1d_valid,1248422480.0,15388158.793326158,78912343.58493054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1741252.6000000066,17099144.999999978
play_uv_1d_valid,42320.0,515.4289558665231,2473.450210003997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.40000000000123,880.0
play_vv_complete_1d,14356.0,148.77664155005382,734.8146207179051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0
play_uv_complete_1d,7520.0,107.1340150699677,473.94517156422063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.49999999999977
itrt_pv_1d,1288.0,12.819160387513456,67.83341134830313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.599999999999909
itrt_uv_1d,880.0,11.71205597416577,58.39546786964398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2999999999999545
favor_pv_1d,582.0,8.701829924650161,45.1412956368194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
favor_uv_1d,582.0,8.701829924650161,45.1412956368194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
comment_pv_1d,100.0,0.44833153928955866,5.387491237588767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
comment_uv_1d,100.0,0.44833153928955866,5.387491237588767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
share_pv_1d,896.0,1.9520990312163617,26.19557708697482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
share_uv_1d,392.0,1.4671689989235737,13.909750211531078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collect_pv_1d,258.0,1.7168998923573735,13.942243533063664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collect_uv_1d,258.0,1.7168998923573735,13.942243533063664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attention_pv_1d,660.0,2.1280947255113025,21.574999910524113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attention_uv_1d,136.0,1.2868675995694294,9.90259778826109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ipv_pv_1d,11440.0,196.96232508073197,760.5943256765435,0.0,0.0,0.0,0.0,0.0,0.0,34.0,128.60000000000014,469.4999999999998
ipv_uv_1d,7440.0,122.2475780409042,464.6617788462557,0.0,0.0,0.0,0.0,0.0,0.0,26.0,84.0,280.0
lead_shop_pv_1d,11440.0,196.96232508073197,760.5943256765435,0.0,0.0,0.0,0.0,0.0,0.0,34.0,128.60000000000014,469.4999999999998
