epoch,r1_rec,r2_rec,r3_rec,r1_ndcg,r2_ndcg,r3_ndcg,AUC,time
0,0.0,0.0,0.08333333333333333,0,0,0.24758579957613994,0.48299319727891155,0.7791416645050049
1,0.0,0.0,0.08333333333333333,0,0,0.24639263935317815,0.47534013605442177,0.6940500736236572
2,0.0,0.0,0.08333333333333333,0,0,0.24639263935317815,0.4739229024943311,0.6520624160766602
3,0.0,0.0,0.08333333333333333,0,0,0.24531341639732426,0.4736394557823129,0.6755375862121582
4,0.0,0.0,0.125,0,0,0.27852412890438744,0.471655328798186,0.7005736827850342
5,0.0,0.0,0.125,0,0,0.27852412890438744,0.46768707482993205,0.6371908187866211
6,0.0,0.0,0.125,0,0,0.2784557959802362,0.4614512471655329,0.6492724418640137
7,0.0,0.0,0.125,0,0,0.2784557959802362,0.4574829931972789,1.6181225776672363
8,0.0,0.0,0.125,0,0,0.2784557959802362,0.45436507936507936,1.2310500144958496
9,0.0,0.0,0.125,0,0,0.2775880589846826,0.45294784580498865,2.404392957687378
